Timestamp_Beijing,HR,GSR
'2026-03-13 15:30:10,70,109
'2026-03-13 15:30:10,70,109
'2026-03-13 15:30:10,70,107
'2026-03-13 15:30:10,70,108
'2026-03-13 15:30:11,70,110
'2026-03-13 15:30:11,70,111
'2026-03-13 15:30:11,70,109
'2026-03-13 15:30:11,70,110
'2026-03-13 15:30:11,71,111
'2026-03-13 15:30:12,71,113
'2026-03-13 15:30:12,71,111
'2026-03-13 15:30:12,71,111
'2026-03-13 15:30:12,71,112
'2026-03-13 15:30:12,71,114
'2026-03-13 15:30:13,71,112
'2026-03-13 15:30:13,71,113
'2026-03-13 15:30:13,71,113
'2026-03-13 15:30:13,71,114
'2026-03-13 15:30:13,71,113
'2026-03-13 15:30:14,71,113
'2026-03-13 15:30:14,71,113
'2026-03-13 15:30:14,71,114
'2026-03-13 15:30:14,71,113
'2026-03-13 15:30:14,71,113
'2026-03-13 15:30:15,71,113
'2026-03-13 15:30:15,72,114
'2026-03-13 15:30:15,72,113
'2026-03-13 15:30:15,72,112
'2026-03-13 15:30:15,72,111
'2026-03-13 15:30:16,72,111
'2026-03-13 15:30:16,72,112
'2026-03-13 15:30:16,72,110
'2026-03-13 15:30:16,72,110
'2026-03-13 15:30:16,71,109
'2026-03-13 15:30:17,71,112
'2026-03-13 15:30:17,71,111
'2026-03-13 15:30:17,71,111
'2026-03-13 15:30:17,71,111
'2026-03-13 15:30:17,71,113
'2026-03-13 15:30:18,71,112
'2026-03-13 15:30:18,71,111
'2026-03-13 15:30:18,71,112
'2026-03-13 15:30:18,71,113
'2026-03-13 15:30:19,71,112
'2026-03-13 15:30:19,71,110
'2026-03-13 15:30:19,71,111
'2026-03-13 15:30:19,71,112
'2026-03-13 15:30:19,71,109
'2026-03-13 15:30:20,71,107
'2026-03-13 15:30:20,70,108
'2026-03-13 15:30:20,70,109
'2026-03-13 15:30:20,70,108
'2026-03-13 15:30:20,70,107
'2026-03-13 15:30:21,71,107
'2026-03-13 15:30:21,71,108
'2026-03-13 15:30:21,71,105
'2026-03-13 15:30:21,71,102
