Timestamp,Event_Time,Event,Content
15:26:07,104.5088,EVENTCODE,MAIN_AUDIO_END
15:26:07,104.5354,EVENTCODE,UNLOCK_BUTTON_6L
15:26:07,104.7586,EyeGaze,right_enter_FMC
15:26:09,106.0402,BUTTONID,6L
15:26:09,106.0792,EVENTCODE,LOCK_FMC
15:26:09,106.0981,EVENTCODE,FMC_RNPApproach_Complete
15:26:11,108.2528,EyeGaze,right_exit_FMC
15:26:11,108.2798,EVENTCODE,VARY_SPEED
15:26:11,108.2953,EyeGaze,right_enter_PFD speed
15:26:11,108.4182,EyeGaze,left_exit_PFD altitude
15:26:12,108.8234,EyeGaze,left_enter_PFD speed
15:26:12,108.8497,EyeGaze,right_exit_PFD speed
15:26:12,108.8645,EyeGaze,right_enter_ND right
15:26:16,113.1104,EVENTCODE,VARY_SPEED
15:26:17,114.3487,EyeGaze,right_exit_FMC
15:26:17,114.364,EyeGaze,right_enter_PFD speed
15:26:19,116.4378,EVENTCODE,VARY_SPEED
15:26:23,119.8064,EVENTCODE,VARY_SPEED
15:26:24,121.5748,SPEECH,
15:26:24,121.6576,EyeGaze,right_exit_PFD speed
15:26:25,122.159,EyeGaze,right_enter_PFD speed
15:26:25,122.5904,EyeGaze,right_exit_PFD speed
15:26:25,122.6331,EyeGaze,right_enter_ND right
15:26:26,123.4963,EVENTCODE,VARY_SPEED
15:26:28,125.7375,EyeGaze,right_exit_PFD speed
15:26:30,126.9483,EyeGaze,right_enter_PFD speed
15:26:30,127.1585,EyeGaze,right_exit_PFD speed
15:26:30,127.2966,EVENTCODE,VARY_SPEED
15:26:30,127.4221,EyeGaze,left_exit_ND right
15:26:30,127.4221,EyeGaze,right_enter_PFD speed
15:26:33,129.8313,EyeGaze,left_enter_ND right
15:26:33,130.7782,EVENTCODE,VARY_SPEED
15:26:35,132.5176,EyeGaze,left_exit_PFD speed
15:26:35,132.5748,EyeGaze,left_enter_ND right
15:26:35,132.5748,EyeGaze,right_exit_PFD speed
15:26:35,132.756,EyeGaze,right_enter_ND right
15:26:35,132.7842,EyeGaze,right_exit_ND right
15:26:36,132.9501,EyeGaze,left_exit_ND right
15:26:36,132.9501,EyeGaze,right_enter_PFD speed
15:26:36,133.1594,EyeGaze,left_enter_PFD speed
15:26:38,135.1194,EVENTCODE,VARY_SPEED
15:26:39,136.5535,EyeGaze,left_exit_Window middle
15:26:39,136.5677,EyeGaze,left_enter_Window middle
15:26:39,136.5846,SPEECH,
15:26:43,139.8788,EVENTCODE,VARY_SPEED
15:26:46,143.0811,EyeGaze,left_exit_Window middle
15:26:46,143.7485,EyeGaze,left_enter_ND right
