model,S,D,I,total_errors,ref_words,corpus_wer,avg_utt_wer
Azure,295,52,152,499,1053,0.47388414055080724,0.46243354237650836
Raw prediction,251,31,122,404,1053,0.38366571699905033,0.4387559736419054
LoRA prediction,172,27,69,268,1053,0.25451092117758783,0.2507452306881966
LoRA+Prompt prediction,138,23,61,222,1053,0.21082621082621084,0.18319232520753437
